id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I4210150146,Moscow State University,1,1,37518,37518,193502,193502,0,0,False,False
https://openalex.org/I155976169,Witten/Herdecke University,1,1,17521,17521,353103,353103,0,0,False,False
https://openalex.org/I4210161752,Beijing Haidian Hospital,1,1,2066,2066,20315,20315,0,0,False,False
https://openalex.org/I1743320,Palo Alto University,1,1,12849,12849,499340,499340,0,0,False,False
https://openalex.org/I119664326,University of Wolverhampton,1,1,13774,13774,297961,297961,1,0,False,True
https://openalex.org/I4210121988,Film Independent,1,1,15348,15348,90356,90356,0,0,False,False
https://openalex.org/I167261309,Royal Botanic Garden Edinburgh,1,1,3716,3716,134150,134150,0,0,False,False
https://openalex.org/I99542240,Polish Academy of Sciences,1,1,129145,129145,2570764,2570764,72,0,False,True
https://openalex.org/I40347166,University of Chicago,1,1,265936,265936,13672008,13672008,3,0,False,True
https://openalex.org/I149744451,Valparaiso University,1,1,9447,9447,144141,144141,0,0,False,False
https://openalex.org/I107606265,Broad Institute,1,1,48890,48890,3379919,3379919,1,0,False,True
https://openalex.org/I103531236,Boston College,1,1,44445,44445,1541661,1541661,0,0,False,False
https://openalex.org/I4210127042,RAND Europe,1,1,722,722,20907,20907,0,1,True,False
https://openalex.org/I123919768,Epson (United States),1,1,598,598,7887,7887,0,1,True,False
https://openalex.org/I1331816111,Geoscience Australia,1,1,3122,3122,128009,128009,0,1,True,False
https://openalex.org/I108103353,Universidad de Valladolid,1,1,38942,38942,652548,652548,2,0,False,True
https://openalex.org/I4403386650,Centre de Robotique,1,1,859,859,13510,13510,0,1,True,False
https://openalex.org/I4210153776,Apple (United States),1,1,2503,2503,59425,59425,2,0,False,True
https://openalex.org/I36258959,"University of California, San Diego",1,1,313049,313049,16676011,16676011,6,1,True,True
https://openalex.org/I299730958,Ricardo (United Kingdom),1,1,1446,1446,22932,22932,1,0,False,True
https://openalex.org/I4390039236,Moores Cancer Center,1,1,3127,3127,196095,196095,0,1,True,False
https://openalex.org/I4402554038,Microsoft Research Montréal (Canada),1,1,118,118,4528,4528,0,1,True,False
https://openalex.org/I79817857,University of Guelph,1,1,80676,80676,2618034,2618034,2,0,False,True
https://openalex.org/I141945490,University of British Columbia,1,1,312732,312732,12648211,12648211,3,0,False,True
https://openalex.org/I119942576,University of the Pacific,1,1,7664,7664,184570,184570,0,0,False,False
https://openalex.org/I4210110987,IIT@MIT,1,1,12906,12906,601483,601483,0,1,True,False
https://openalex.org/I124261462,Oxford Brookes University,1,1,19165,19165,486952,486952,0,0,False,False
https://openalex.org/I4210096995,Ixico (United Kingdom),1,1,183,183,1991,1991,0,0,False,False
https://openalex.org/I61544103,London Business School,1,1,8778,8778,573852,573852,0,1,True,False
