Author,OA_Profile,Geographic Trajectory,Years in the US,Years in China,Geographic Trajectory (simplified),Geographic Trajectory (even more simplified),1980,1981,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Tianhao Li,https://openalex.org/A5016521877,China,0,6,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,China,China,China,China,China,
Tianyang Xia,https://openalex.org/A5108673674,China ---> United States ---> China,1,17,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,China,China,China,China,,China,China,United States,China,China,China,China,China,China,China,China,China,China,China,
Tianyi Tang,https://openalex.org/A5102952551,China ---> United Kingdom ---> China,0,4,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,,United Kingdom,China,China
Tianyu Liu,https://openalex.org/A5102740648,China ---> Germany ---> China,0,18,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,Germany,China,China,China,
Wei Ding,https://openalex.org/A5066638397,China ---> Germany ---> China ---> France ---> United Kingdom ---> China,0,10,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,China,,,,,,,,,,,China,,China,,China,China,China,China,Germany,Germany,Germany,Germany,China,China,France,France,United Kingdom,China,
Wei Wang,https://openalex.org/A5100391896,China ---> United States ---> Canada ---> China ---> United States ---> China ---> United States ---> China ---> Hong Kong ---> China ---> Macao,5,22,Multinational Travel ---> Macao,"Started in China, Ended up in Macao",,,,China,,,,,United States,Canada,,,,China,China,China,China,China,United States,United States,China,China,China,China,United States,United States,China,China,China,Hong Kong,China,China,China,China,China,China,China,China,China,Macao
Wenbiao Yin,https://openalex.org/A5004964825,Taiwan ---> China,0,1,Multinational Travel ---> China,"Started in Taiwan, Ended up in China",,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,
X.-C. Zhang,https://openalex.org/A5087184425,United States ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China,27,10,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,United States,United States,United States,United States,United States,United States,United States,China,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,China,United States,China,United States,United States,United States,China,United States,China,China,China,China,United States,United States,United States,United States,China,China
Xiaodong Deng,https://openalex.org/A5077242351,United States ---> Sweden ---> China ---> United States ---> China ---> United States ---> China ---> Singapore ---> China ---> Singapore ---> United States ---> China,11,11,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,United States,United States,United States,,United States,,United States,United States,,,Sweden,China,United States,United States,China,China,United States,United States,China,Singapore,China,Singapore,United States,China,China,China,China,China,China,
Xiaohuan Zhou,https://openalex.org/A5042419848,China,0,7,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,,China,China,,,China,China,
