Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Rui‐Le Pan,3,,https://openalex.org/A5008212048,A5008212048,"4, 5, 6"
Runji Wang,3,,https://openalex.org/A5024300524,A5024300524,"4, 5, 6"
Runxin Xu,5,,https://openalex.org/A5023594937,A5023594937,"2, 3, 4, 5, 6"
Ruoyu Zhang,3,,https://openalex.org/A5034697076,A5034697076,"4, 5, 6"
Ruyi Chen,4,,https://openalex.org/A5036645286,A5036645286,"2, 4, 5, 6"
S. H. Liu,1,,https://openalex.org/A5072626432,A5072626432,6
S. S. Li,2,,https://openalex.org/A5016620334,A5016620334,"2, 6"
S. S. Sun,1,,https://openalex.org/A5103793201,A5103793201,6
Sansan Li,1,,https://openalex.org/A5010956082,A5010956082,5
Shanghao Lu,5,,https://openalex.org/A5101289776,A5101289776,"1, 2, 4, 5, 6"
Shangrong Li,1,,https://openalex.org/A5002461029,A5002461029,4
Shangyan Zhou,5,,https://openalex.org/A5035849215,A5035849215,"1, 2, 4, 5, 6"
Shanhuang Chen,5,,https://openalex.org/A5046105992,A5046105992,"1, 2, 4, 5, 6"
Shaofei Cai,1,,https://openalex.org/A5074233262,A5074233262,6
Shaoqing Wu,4,,https://openalex.org/A5101533376,A5101533376,"2, 4, 5, 6"
Shaoyuan Chen,1,,https://openalex.org/A5102307049,A5102307049,6
Shengding Hu,1,,https://openalex.org/A5010557815,A5010557815,6
Shengfeng Ye,4,,https://openalex.org/A5030693568,A5030693568,"2, 4, 5, 6"
Shengyu Liu,1,,https://openalex.org/A5004265996,A5004265996,6
Shiqiang Hu,1,,https://openalex.org/A5101413296,A5101413296,6
Shirong Ma,6,,https://openalex.org/A5057030499,A5057030499,"1, 2, 3, 4, 5, 6"
Shiyu Wang,5,,https://openalex.org/A5100437635,A5100437635,"1, 2, 4, 5, 6"
Shuang Zhou,4,,https://openalex.org/A5101508494,A5101508494,"2, 4, 5, 6"
Shuiping Yu,5,,https://openalex.org/A5000029432,A5000029432,"1, 2, 4, 5, 6"
Shunfeng Zhou,5,,https://openalex.org/A5045996355,A5045996355,"1, 2, 4, 5, 6"
Shuting Pan,3,,https://openalex.org/A5113628365,A5113628365,"4, 5, 6"
Size Zheng,1,,,,2
T. Wang,1,,,,2
Tao Ni,1,,https://openalex.org/A5110445732,A5110445732,6
Tao Yun,2,,https://openalex.org/A5102213433,A5102213433,"4, 5"
Tian Pei,2,,https://openalex.org/A5110880895,A5110880895,"2, 4"
Tian Yuan,1,,,,2
Tianfu Wang,1,,https://openalex.org/A5046543349,A5046543349,5
Tianli Yue,1,,https://openalex.org/A5040091190,A5040091190,6
Tianyu Sun,4,,https://openalex.org/A5015475948,A5015475948,"2, 4, 5, 6"
Ting Wang,1,,https://openalex.org/A5100428022,A5100428022,6
Tong Wang,1,,https://openalex.org/A5100451016,A5100451016,4
Tong Wu,1,,https://openalex.org/A5101994749,A5101994749,1
Tongzheng Ren,1,,https://openalex.org/A5055015446,A5055015446,1
W. L. Xiao,1,,,,2
Wangding Zeng,5,,https://openalex.org/A5049532529,A5049532529,"2, 3, 4, 5, 6"
Wanjia Zhao,1,,https://openalex.org/A5112946948,A5112946948,4
Wei An,2,,https://openalex.org/A5021639941,A5021639941,"2, 4"
Wei Guang An,2,,https://openalex.org/A5110037798,A5110037798,"5, 6"
Wen Liu,3,,https://openalex.org/A5100320278,A5100320278,"1, 2, 5"
Wenfeng Liang,6,,https://openalex.org/A5009435651,A5009435651,"1, 2, 3, 4, 5, 6"
Wenjie Hu,1,,https://openalex.org/A5101521918,A5101521918,1
Wenjie Pang,1,,https://openalex.org/A5049920338,A5049920338,6
Wenjing Luo,1,,https://openalex.org/A5102068638,A5102068638,6
Wenjun Gao,5,,https://openalex.org/A5076999126,A5076999126,"1, 2, 3, 4, 5"
Wenjun Liu,1,,https://openalex.org/A5052333801,A5052333801,4
