Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1982,ID-1982,affiliation-1978,ID-1978,affiliation-1975,ID-1975,affiliation-1971,ID-1971,affiliation-1970,ID-1970
C. H. Jiang,A5106306615,2,,,Peking University,https://openalex.org/I20231570,,,,,,,,,Institute of High Energy Physics,https://openalex.org/I4210137180,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,Institute of High Energy Physics,https://openalex.org/I4210137180,,,Institute of High Energy Physics,https://openalex.org/I4210137180,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. H. Li,A5124970746,1,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.A. Tang,A5053078202,5,Universidad del Noreste,https://openalex.org/I87182695,Ningbo Institute of Industrial Technology,https://openalex.org/I4210165339,University of Nottingham,https://openalex.org/I142263535,University of Nottingham,https://openalex.org/I142263535,University of Nottingham,https://openalex.org/I142263535,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Dalian University of Technology,https://openalex.org/I27357992,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Dalian University of Technology,https://openalex.org/I27357992,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,Northeastern University,https://openalex.org/I9224756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chao Hong,A5124961384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaoran Tian,A5085432390,2,,,,,,,Zhejiang University,https://openalex.org/I76130692,,,Zhejiang University,https://openalex.org/I76130692,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng Chen,A5064269942,5,,,Shanghai Institute of Pollution Control and Ecological Security,https://openalex.org/I4392738303,,,University of Oxford,https://openalex.org/I40120149,Suzhou Institute of Nano-tech and Nano-bionics,https://openalex.org/I4210092495,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,Tsinghua University,https://openalex.org/I99065089,University of Oxford,https://openalex.org/I40120149,University of Oxford,https://openalex.org/I40120149,Hubei Cancer Hospital,https://openalex.org/I4210160841,,,,,,,,,,,,,,,,,,,,,,,University of Oxford,https://openalex.org/I40120149,,,,,,,,,,,,,,,,,University of Oxford,https://openalex.org/I40120149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng Li,A5100354298,16,,,Chongqing Medical University,https://openalex.org/I87780372,Qiqihar Medical University,https://openalex.org/I899859998,South China University of Technology,https://openalex.org/I90610280,Northwest A&F University,https://openalex.org/I89652312,Northwest A&F University,https://openalex.org/I89652312,Zhejiang University,https://openalex.org/I76130692,South China University of Technology,https://openalex.org/I90610280,Guangzhou Medical University,https://openalex.org/I92039509,Northwest A&F University,https://openalex.org/I89652312,Zhejiang University,https://openalex.org/I76130692,South China University of Technology,https://openalex.org/I90610280,Zhejiang University,https://openalex.org/I76130692,Institute of Soil Science,https://openalex.org/I4210165559,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,Dana-Farber Cancer Institute,https://openalex.org/I4210117453,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,Hubei Engineering University,https://openalex.org/I4210154338,Wuhan University of Science and Technology,https://openalex.org/I43922553,University of Surrey,https://openalex.org/I28290843,Dana-Farber Cancer Institute,https://openalex.org/I4210117453,Biostatistical Consulting (United States),https://openalex.org/I4210157459,Biostatistical Consulting (United States),https://openalex.org/I4210157459,,,Beijing University of Chemical Technology,https://openalex.org/I75390827,Kaohsiung Medical University,https://openalex.org/I152743029,SRI International,https://openalex.org/I1298353152,,,SRI International,https://openalex.org/I1298353152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng Liu,A5124963139,1,Institute of Applied Physics and Computational Mathematics,https://openalex.org/I4210145278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chengde Liao,A5041295761,6,,,Yan'an Hospital Affiliated To Kunming Medical University,https://openalex.org/I4210146235,Yan'an Hospital Affiliated To Kunming Medical University,https://openalex.org/I4210146235,Yan'an Hospital Affiliated To Kunming Medical University,https://openalex.org/I4210146235,Kunming Medical University,https://openalex.org/I26080491,Kunming Medical University,https://openalex.org/I26080491,Stanford University,https://openalex.org/I97018004,Kunming Medical University,https://openalex.org/I26080491,Stanford University,https://openalex.org/I97018004,Kunming Medical University,https://openalex.org/I26080491,Kunming Medical University,https://openalex.org/I26080491,Kunming Medical University,https://openalex.org/I26080491,,,,,Kunming Medical University,https://openalex.org/I26080491,Sun Yat-sen Memorial Hospital,https://openalex.org/I4210097354,Sun Yat-sen University,https://openalex.org/I157773358,,,,,Kunming Children's Hospital,https://openalex.org/I4210091335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanford University,https://openalex.org/I97018004,,,,,,
Chengjie Wu,A5124926117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
