Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Shaojie Zheng,2,,https://openalex.org/A5102023520,A5102023520,"3, 6"
Shaowei Liu,5,,https://openalex.org/A5102884727,A5102884727,"1, 2, 3, 4, 6"
Shengjie Wang,2,,https://openalex.org/A5124906033,A5124906033,"3, 6"
Shengjun Fang,2,,https://openalex.org/A5113281925,A5113281925,"4, 6"
Shengling Ma,2,,https://openalex.org/A5100634991,A5100634991,"1, 3"
Shengyuan Shi,2,,https://openalex.org/A5124895120,A5124895120,"3, 6"
Shifeng Cao,2,,https://openalex.org/A5004321335,A5004321335,"1, 2"
Shiyuan Teng,1,,https://openalex.org/A5124923166,A5124923166,6
Shuai Zhao,1,,https://openalex.org/A5124912181,A5124912181,6
Shudong Liu,1,,https://openalex.org/A5124893220,A5124893220,6
Shupeng Wei,1,,https://openalex.org/A5030311739,A5030311739,1
Shuran Liu,1,,https://openalex.org/A5124901290,A5124901290,6
Shuyi Wang,2,,https://openalex.org/A5103113484,A5103113484,"3, 6"
Si Wang,2,,https://openalex.org/A5124926926,A5124926926,"3, 6"
Siying Huang,1,,https://openalex.org/A5104280720,A5104280720,1
Siyu Yuan,1,,,,3
Siyuan Pan,3,,https://openalex.org/A5124952339,A5124952339,"3, 4, 6"
Songlin Yang,1,,,,4
Sui Lin,1,,https://openalex.org/A5100525839,A5100525839,2
Suting Xu,2,,https://openalex.org/A5124967644,A5124967644,"3, 6"
T. Y. Liu,2,,,,"3, 4"
Tao Jiang,3,,https://openalex.org/A5100648261,A5100648261,"1, 3, 6"
Tao Yu,2,,https://openalex.org/A5100596110,A5100596110,"2, 6"
Tengyang Zheng,1,,https://openalex.org/A5109688160,A5109688160,6
Tianhong He,1,,,,3
Tianhui Song,2,,https://openalex.org/A5091391590,A5091391590,"2, 6"
Tianwei Liu,2,,https://openalex.org/A5124911787,A5124911787,"3, 6"
Tianxiang Yu,1,,https://openalex.org/A5124880424,A5124880424,6
Tianxiao Shen,1,,https://openalex.org/A5006131913,A5006131913,6
Tianyu Liu,1,,https://openalex.org/A5124899375,A5124899375,6
Tong Gao,2,,https://openalex.org/A5124945874,A5124945874,"3, 6"
Tongtong Bai,2,,https://openalex.org/A5075487596,A5075487596,"2, 6"
Tongxu Luo,1,,https://openalex.org/A5124873523,A5124873523,6
Tongyu Sun,1,,https://openalex.org/A5124970229,A5124970229,6
W. He,2,,https://openalex.org/A5014305191,A5014305191,"1, 2"
Wanlu Zhang,1,,,,3
Wei Chu,1,,https://openalex.org/A5101781459,A5101781459,2
Wei J. Wang,1,,https://openalex.org/A5124896764,A5124896764,6
Wei Song,1,,https://openalex.org/A5019370942,A5019370942,2
Weihao Gao,1,,https://openalex.org/A5036598136,A5036598136,1
Weihao Zeng,1,,https://openalex.org/A5113392262,A5113392262,6
Weihong Li,1,,https://openalex.org/A5124913159,A5124913159,6
Weilong Liao,1,,https://openalex.org/A5124905247,A5124905247,6
Weimin Xiong,1,,,,3
Weiming Zhong,1,,https://openalex.org/A5124884308,A5124884308,6
Weiran He,3,,https://openalex.org/A5124938288,A5124938288,"3, 4, 6"
Weixiao Huang,5,,https://openalex.org/A5013900180,A5013900180,"1, 2, 3, 4, 6"
Weixin Xu,4,,https://openalex.org/A5109953055,A5109953055,"2, 3, 4, 6"
Weiyu Zhuang,2,,https://openalex.org/A5091010241,A5091010241,"3, 6"
Weizhou Liu,3,,https://openalex.org/A5090275722,A5090275722,"3, 4, 6"
Wenhao Wu,4,,https://openalex.org/A5102884532,A5102884532,"1, 3, 4, 6"
Wenjie Ye,2,,https://openalex.org/A5124946708,A5124946708,"3, 6"
Wentao Li,3,,https://openalex.org/A5124927812,A5124927812,"3, 4, 6"
Wenyang He,3,,https://openalex.org/A5105206275,A5105206275,"1, 3, 6"
X. Angelo Huang,1,,https://openalex.org/A5109743429,A5109743429,5
X. H. Zhou,1,,https://openalex.org/A5063131799,A5063131799,1
Xianghui Wei,1,,https://openalex.org/A5029780217,A5029780217,1
Xiangyan Liu,1,,https://openalex.org/A5030067405,A5030067405,6
Xiangyu Zhao,1,,https://openalex.org/A5124939727,A5124939727,6
Xianqing Jia,1,,https://openalex.org/A5084563214,A5084563214,1
