Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1989,ID-1993,ID-1994,ID-1997,ID-1999,ID-2000,ID-2001,ID-2002,ID-2003,ID-2004,ID-2005,ID-2006,ID-2007,ID-2008,ID-2009,ID-2010,ID-2011,ID-2012,ID-2013,ID-2014,ID-2015,ID-2016,ID-2017,ID-2018,ID-2019,ID-2020,ID-2021,ID-2022,ID-2023,ID-2024,ID-2025,affiliation-1989,affiliation-1993,affiliation-1994,affiliation-1997,affiliation-1999,affiliation-2000,affiliation-2001,affiliation-2002,affiliation-2003,affiliation-2004,affiliation-2005,affiliation-2006,affiliation-2007,affiliation-2008,affiliation-2009,affiliation-2010,affiliation-2011,affiliation-2012,affiliation-2013,affiliation-2014,affiliation-2015,affiliation-2016,affiliation-2017,affiliation-2018,affiliation-2019,affiliation-2020,affiliation-2021,affiliation-2022,affiliation-2023,affiliation-2024,affiliation-2025
Xiaosha Chen,3,,https://openalex.org/A5036491343,A5036491343,https://orcid.org/0000-0002-2121-8055,Xiaosha Chen,Xiaosha Chen,20,323,5.0,8,8,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I150229711,https://openalex.org/I150229711,https://openalex.org/I150229711,https://openalex.org/I150229711,,https://openalex.org/I150229711,https://openalex.org/I9086337,,,,,,,,,,,,,,,,,,,,,,,,,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,University of Electronic Science and Technology of China,Taiyuan University of Technology,
Ruyi Chen,3,,https://openalex.org/A5036645286,A5036645286,https://orcid.org/0000-0003-0371-0772,Ruyi Chen,Ruyi Chen,3,79,0.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I114539943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhejiang Chinese Medical University,,,,,
Zilin Li,3,,https://openalex.org/A5042358680,A5042358680,https://orcid.org/0000-0002-3816-7151,Zilin Li,"LI Zi‐lin, Li Zilin, Zilin Li",33,827,5.7,14,16,,,,,,,,,,,,,,https://openalex.org/I4210143193,,https://openalex.org/I196699116,,,,,,,https://openalex.org/I14243506,https://openalex.org/I23632641,https://openalex.org/I14243506,https://openalex.org/I180726961,https://openalex.org/I99065089,https://openalex.org/I14243506,https://openalex.org/I14243506,https://openalex.org/I14243506,https://openalex.org/I160674187,,,,,,,,,,,,,,Beijing Vaccum Electronic Research Institute,,Wuhan University of Technology,,,,,,,Hong Kong Polytechnic University,Shanghai University of Electric Power,Hong Kong Polytechnic University,Shenzhen University,Tsinghua University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,Hong Kong Polytechnic University,China Three Gorges Corporation (China)
Dongjie Ji,3,,https://openalex.org/A5043755032,A5043755032,,Dongjie Ji,"D. Ji, Daobin JI, Dongjie Ji",5,26,0.0,3,0,,,,,,,,,,,,,,,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wuhan University,,,,,,,,,,,,,,,,
Yuduan Wang,3,,https://openalex.org/A5047265939,A5047265939,,Yuduan Wang,Yuduan Wang,8,66,6.333333333333333,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I165932596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National University of Singapore,
Ning Tian,3,,https://openalex.org/A5053537379,A5053537379,https://orcid.org/0009-0005-7903-4928,Ning Tian,Ning Tian,9,86,11.75,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I148099405,https://openalex.org/I148099405,https://openalex.org/I206451062,https://openalex.org/I148099405,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xi'an University of Architecture and Technology,Xi'an University of Architecture and Technology,"University of Architecture, Civil Engineering and Geodesy",Xi'an University of Architecture and Technology
Xinyu Yang,3,,https://openalex.org/A5055963260,A5055963260,https://orcid.org/0000-0003-0096-921X,Xinyu Yang,"X. Y. Yang, X. Yang, Xinyu Yang, Xinyu YeMinfang ChenMeng Yang, Xin‐Yu Yang",76,670,2.0833333333333335,15,23,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I16365422,https://openalex.org/I16365422,https://openalex.org/I16365422,https://openalex.org/I16365422,https://openalex.org/I39774598,https://openalex.org/I16365422,https://openalex.org/I16365422,https://openalex.org/I4392738231,https://openalex.org/I141649914,https://openalex.org/I25757504,,,,,,,,,,,,,,,,,,,,,,Hefei University of Technology,Hefei University of Technology,Hefei University of Technology,Hefei University of Technology,Hefei University,Hefei University of Technology,Hefei University of Technology,State Key Laboratory of Automotive Simulation and Control,Nanchang University,China University of Mining and Technology
Xiaohan Wang,3,,https://openalex.org/A5056359676,A5056359676,https://orcid.org/0000-0002-4255-3012,Xiaohan Wang,Xiaohan Wang,70,54,1.736842105263158,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I204553293,https://openalex.org/I204553293,https://openalex.org/I4387154005,https://openalex.org/I183067930,,,,,,,,,,,,,,,,,,,,,,,,,,,,"China University of Petroleum, Beijing","China University of Petroleum, Beijing",State Key Laboratory of Digital Medical Engineering,Shanghai Jiao Tong University
Yixuan Tan,3,,https://openalex.org/A5063984048,A5063984048,,Yixuan Tan,Yixuan Tan,10,20,1.1666666666666667,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210099558,https://openalex.org/I4210099558,https://openalex.org/I4210099558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shanghai Changzheng Hospital,Shanghai Changzheng Hospital,Shanghai Changzheng Hospital,
Ying Tang,3,,https://openalex.org/A5068378063,A5068378063,https://orcid.org/0000-0003-2665-7812,Ying Tang,"Ying Ran Tang, Ying Tang, Tang Ying, Y. Tang",161,1710,2.0,23,38,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I181903023,https://openalex.org/I4210141776,https://openalex.org/I4210141776,https://openalex.org/I139759216,https://openalex.org/I4210141776,https://openalex.org/I139759216,https://openalex.org/I139759216,https://openalex.org/I143413998,https://openalex.org/I4210125903,https://openalex.org/I181903023,,,,,,,,,,,,,,,,,,,,,,Xi'an Shiyou University,China XD Group (China),China XD Group (China),Beijing University of Posts and Telecommunications,China XD Group (China),Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Qingdao University of Science and Technology,University Research Co (United States),Xi'an Shiyou University
