id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I165139151,University of North Texas Health Science Center,1,1,10261,10261,262265,262265,1,1,True,True
https://openalex.org/I70900168,Université Savoie Mont Blanc,1,1,18719,18719,462366,462366,14,0,False,True
https://openalex.org/I4210135110,Centre Hospitalier Universitaire de Martinique,1,1,3920,3920,58422,58422,0,0,False,False
https://openalex.org/I4387155886,Digital Health Cooperative Research Centre,1,1,556,556,8395,8395,0,0,False,False
https://openalex.org/I4210115218,St. Vincent's University Hospital,1,1,9674,9674,289683,289683,0,0,False,False
https://openalex.org/I91656880,China Medical University,1,1,53494,53494,776336,776336,0,0,False,False
https://openalex.org/I4210148712,Silicon Valley University,1,1,636,636,13059,13059,0,0,False,False
https://openalex.org/I4210126992,Laboratoire de Chimie Moléculaire et Thioorganique,1,1,2929,2929,31374,31374,0,4,True,False
https://openalex.org/I4210128418,Nanjing Xiaozhuang University,1,1,4640,4640,42900,42900,0,0,False,False
https://openalex.org/I93906172,Anyang University,1,1,7041,7041,167491,167491,0,0,False,False
https://openalex.org/I8078737,Clemson University,1,1,66140,66140,1685597,1685597,0,0,False,False
https://openalex.org/I185492890,University of Canterbury,1,1,45733,45733,1243081,1243081,1,0,False,True
https://openalex.org/I23923803,University of Exeter,1,1,91411,91411,3005061,3005061,2,0,False,True
https://openalex.org/I136722135,Claremont Graduate University,1,1,7733,7733,247507,247507,0,1,True,False
https://openalex.org/I74801974,The University of Tokyo,1,1,456885,456885,12811539,12811539,4,0,False,True
https://openalex.org/I126744593,"University of Maryland, Baltimore",1,1,114139,114139,4608661,4608661,2,1,True,True
https://openalex.org/I99205534,Yaroslav-the-Wise Novgorod State University,1,1,6671,6671,48450,48450,0,0,False,False
https://openalex.org/I4210148132,Colorado Kidney Care,1,1,494,494,28254,28254,0,0,False,False
https://openalex.org/I122140584,Universidade Federal do Rio de Janeiro,1,1,145925,145925,2294852,2294852,3,0,False,True
https://openalex.org/I4210093650,Centre hospitalier universitaire de Québec,1,1,5983,5983,261510,261510,0,0,False,False
https://openalex.org/I112260969,Ontario Institute for Cancer Research,1,1,11408,11408,925725,925725,0,0,False,False
https://openalex.org/I4210165024,Institute of Infection and Immunity,1,1,3287,3287,115443,115443,0,1,True,False
https://openalex.org/I4210097061,Hazen and Sawyer (United States),1,1,505,505,7376,7376,0,0,False,False
https://openalex.org/I4210102265,New York State Office of Mental Health,1,1,1223,1223,36122,36122,2,1,True,True
https://openalex.org/I4210126929,CE Technologies (United Kingdom),1,1,149,149,1361,1361,0,0,False,False
https://openalex.org/I4210102410,First Affiliated Hospital of Jiamusi University,1,1,1441,1441,8462,8462,0,0,False,False
https://openalex.org/I88170914,Scottish Association For Marine Science,1,1,3306,3306,158348,158348,0,0,False,False
https://openalex.org/I4210122178,Hewlett Packard Enterprise (United States),1,1,774,774,16121,16121,0,0,False,False
https://openalex.org/I111979921,Northwestern University,1,1,240989,240989,11794525,11794525,3,0,False,True
https://openalex.org/I2801667607,Maryland-National Capital Park and Planning Commission,1,1,52,52,480,480,0,0,False,False
https://openalex.org/I2802390878,Sir Run Run Shaw Hospital,1,1,13425,13425,260320,260320,0,0,False,False
https://openalex.org/I2802654988,Princess Margaret Cancer Centre,1,1,29422,29422,1194574,1194574,0,1,True,False
https://openalex.org/I4210140459,Center for Disease Control,1,1,7108,7108,72963,72963,0,0,False,False
https://openalex.org/I1288214837,United States Naval Research Laboratory,1,1,65580,65580,2091209,2091209,17,1,True,True
https://openalex.org/I63634437,Universidad Autónoma de Madrid,1,1,105345,105345,3050592,3050592,6,0,False,True
https://openalex.org/I4210158898,Institute of Genetics and Cancer,1,1,4741,4741,300554,300554,0,2,True,False
https://openalex.org/I1315141215,Australian Law Reform Commission,1,1,259,259,1746,1746,0,2,True,False
https://openalex.org/I4210108373,Ashwini Hospital,1,1,426,426,2057,2057,0,0,False,False
https://openalex.org/I4210119107,Institute of Human Genetics,1,1,2786,2786,110170,110170,0,1,True,False
https://openalex.org/I4210137693,Siemens (United States),1,1,5747,5747,164522,164522,0,1,True,False
