Author ID,Author Name,Work ID,Title,DOI,Year,Publication Date,Type,Language,Citations,Topics,Co-Authors
https://openalex.org/A5046162247,Dehao Zhang,https://openalex.org/W3189309184,Method Towards CVPR 2021 Image Matching Challenge,https://doi.org/10.48550/arxiv.2108.04453,2021,2021-01-01,preprint,en,3,"Advanced Neural Network Applications, Advanced Image and Video Retrieval Techniques, Medical Image Segmentation Techniques","Xiaopeng Bi, Yu Chen, Xinyang Liu, Ran Yan, Zheng Chai, Haotian Zhang, Xiao Liu"
https://openalex.org/A5046162247,Dehao Zhang,https://openalex.org/W3091006680,Intelligent Safety Monitoring and Early Warning System for Construction Site,https://doi.org/10.1145/3425329.3425331,2020,2020-09-25,article,en,1,"Occupational Health and Safety Research, Fire Detection and Safety Systems, Anomaly Detection Techniques and Applications","Zheyuan Hu, Jun Cai, Huiwei Wang, Liu Yang, Xin Li, Yanlong Li, Fengyan Zhao, Hongjun Zhang"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W3159592735,An integrative drug repositioning framework discovered a potential therapeutic agent targeting COVID-19,https://doi.org/10.1038/s41392-021-00568-6,2021,2021-04-24,article,en,190,"Computational Drug Discovery Methods, PARP inhibition in cancer therapy, SARS-CoV-2 and COVID-19 Research","Yiyue Ge, Tingzhong Tian, Suling Huang, Fangping Wan, Jingxin Li, Shuya Li, Xiaoting Wang, Hui Yang, Lixiang Hong, Nian Wu, Yunan Luo, Lili Cheng, Chengliang Hu, Yipin Lei, Hantao Shu, Xiaolong Feng, Ziyuan Jiang, Yunfu Wu, Ying Chi, Xiling Guo, Lunbiao Cui, Xiao Liang, Li Zeng, Chunhao Yang, Ze‐Hong Miao, Ligong Chen, Haitao Li, Hainian Zeng, Dan Zhao, Fengcai Zhu, Xiaokun Shen, Jianyang Zeng"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W3011056788,A data-driven drug repositioning framework discovered a potential therapeutic agent targeting COVID-19,https://doi.org/10.1101/2020.03.11.986836,2020,2020-03-12,preprint,en,163,"PARP inhibition in cancer therapy, SARS-CoV-2 and COVID-19 Research, Computational Drug Discovery Methods","Yiyue Ge, Tingzhong Tian, Suling Huang, Fangping Wan, Jingxin Li, Shuya Li, Hui Yang, Lixiang Hong, Nian Wu, Lili Cheng, Yipin Lei, Hantao Shu, Xiaolong Feng, Ziyuan Jiang, Ying Chi, Xiling Guo, Lunbiao Cui, Xiao Liang, Li Zeng, Chunhao Yang, Ze‐Hong Miao, Haidong Tang, Ligong Chen, Hainian Zeng, Dan Zhao, Fengcai Zhu, Xiaokun Shen, Jianyang Zeng"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4284668205,Multi-Behavior Sequential Transformer Recommender,https://doi.org/10.1145/3477495.3532023,2022,2022-07-06,article,en,61,"Recommender Systems and Techniques, Advanced Graph Neural Networks, Topic Modeling","Wei Guo, Zhicheng He, Huifeng Guo, Chengkai Liu, Ruiming Tang"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4406774573,Kimi k1.5: Scaling Reinforcement Learning with LLMs,https://doi.org/10.48550/arxiv.2501.12599,2025,2025-01-21,preprint,en,3,"Robot Manipulation and Learning, Machine Learning and Data Classification, Machine Learning and Algorithms","Kimi Team, Angang Du, Bofei Gao, Bowei Xing, C. H. Jiang, Cheng Chen, Cheng Li, Chenjun Xiao, Chenzhuang Du, Chengde Liao, C.A. Tang, Congcong Wang, Dehao Zhang, Enzhe Lu, Fengxiang Tang, Flood Sung, Gang Wei, Guokun Lai, Haiqing Guo, Han Zhu, Hao Ding, Hao Hu, Hao-Tsung Yang, Hao Zhang, Haotian Yao, H. W. Zhao, Haoyu Lu, Haoze Li, Haozhen Yu, Hongcheng Gao, Huabin Zheng, Huan Yuan, Jia Chen, Jianhang Guo, Jianlin Su, Jianzhou Wang, J. Zhao, Jin Zhang, Junming Liu, Junjie Yan, Junyan Wu, Lidong Shi, Ling Ye, Longhui Yu, Mengjiao Dong, Nan Zhang, Ningchen Ma, Qiwei Pan, Qucheng Gong, Shaowei Liu, Shengling Ma, Shupeng Wei, Shifeng Cao, Siying Huang, Tao Jiang, Weihao Gao, Xiong Weijun, W. He, Weixiao Huang, Wenhao Wu, Wenyang He, Xianghui Wei, Xianqing Jia, Xingzhe Wu, Xinran Xu, Xinxing Zu, X. H. Zhou, Xuehai Pan, Y F Young Charles, Yang Li, Yangyang Hu, Yangyang Liu, Yanru Chen, Y. Q. Wang, Y. Liu, Yiming Qin, Yifeng Liu, Yingguo Yang, Yiping Bao, Yulun Du, Yuxin Wu, Yuzhi Wang, Zaida Zhou, Z B Wang, Zhaowei Li, Zhen Zhu, Zheng Zhang, Z. T. Wang, Zhilin Yang, Zhiqi Huang, Zhiyi Huang, Zhao Xu, Zonghan Yang"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W3139080744,Understanding the phase separation characteristics of nucleocapsid protein provides a new therapeutic opportunity against SARS-CoV-2,https://doi.org/10.1007/s13238-021-00832-z,2021,2021-03-26,letter,en,53,"RNA Interference and Gene Delivery, Viral gastroenteritis research and epidemiology, RNA Research and Splicing","Dan Zhao, Weifan Xu, Xiaofan Zhang, Xiaoting Wang, Yiyue Ge, Yuanpeng Xiong, Shenyang Wu, Shuya Li, Nian Wu, Tingzhong Tian, Xiaolong Feng, Hantao Shu, Lang Peng, Jingxin Li, Fengcai Zhu, Xiaokun Shen, Haitao Li, Pilong Li, Jianyang Zeng"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4367046889,Compressed Interaction Graph based Framework for Multi-behavior Recommendation,https://doi.org/10.1145/3543507.3583312,2023,2023-04-26,article,en,20,"Recommender Systems and Techniques, Advanced Graph Neural Networks, Complex Network Analysis Techniques","Wei Guo, Chang Meng, Zhicheng He, Huifeng Guo, Yingxue Zhang, Bo Chen, Yaochen Hu, Ruiming Tang, Xiu Li, Rui Zhang"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4407764033,MoBA: Mixture of Block Attention for Long-Context LLMs,https://doi.org/10.48550/arxiv.2502.13189,2025,2025-02-18,preprint,en,1,Medical Imaging Techniques and Applications,"Enzhe Lu, Zhishen Jiang, Jingyuan Liu, Yulun Du, Tao Jiang, Chao Hong, Shaowei Liu, Weiran He, Yuzhi Wang, Zhiqi Huang, Huan Yuan, Suting Xu, Xinran Xu, Guokun Lai, Yanru Chen, Huabin Zheng, Junjie Yan, Jianlin Su, Yuxin Wu, Neo Y. Zhang, Zhilin Yang, Xinyu Zhou, Mingxing Zhang, Jiezhong Qiu"
https://openalex.org/A5073001520,Enming Yuan,https://openalex.org/W4393370941,Deep learning modeling of rare noncoding genetic variants in human motor neurons defines<i>CCDC146</i>as a therapeutic target for ALS,https://doi.org/10.1101/2024.03.30.24305115,2024,2024-04-01,preprint,en,4,"Amyotrophic Lateral Sclerosis Research, CRISPR and Genetic Engineering, Neurogenetic and Muscular Disorders Research","Sai Zhang, Tobias Moll, Jasper Rubin-Sigler, Sharon Tu, Shuya Li, Menghui Liu, A. Yazdani Butt, Calum Harvey, Sarah Gornall, Elham Alhalthli, Allan C. Shaw, Cleide Dos Santos Souza, Laura Ferraiuolo, Eran Hornstein, Tatyana A. Shelkovnikova, Charlotte H. van Dijk, Ilia Sarah Timpanaro, Kevin P. Kenna, Jianyang Zeng, Philip S. Tsao, Pamela J. Shaw, Justin K. Ichida, Johnathan Cooper‐Knock, M Snyder"
